course_name,prerequisites,corequisites
AMM 3100 - Design and Merchandising Strategies (2),AMM 210 or AMM 1120 ; and AMM 210A or AMM 1120L .,AMM 3100A .
AMM 2800L - Apparel Construction and Quality Laboratory (1),"AMM 1120 or AMM 210, AMM 1120L or AMM 210A, AMM 160 or AMM 1600 , and AMM 1600L or AMM 160L.",AMM 2800 .
AMM 2600L - Textile Fabrications Laboratory (1),AMM 160 or AMM 1600 ; and AMM 160L or AMM 1600L .,AMM 2600 .
AMM 2800 - Apparel Construction and Quality (2),"AMM 1120 or AMM 210, AMM 210A or AMM 1120L ; AMM 160 or AMM 1600 , and AMM 160L or AMM 1600L .",AMM 2800L .
AMM 2600 - Textile Fabrications (2),AMM 160 or AMM 1600 ; and AMM 160L or AMM 1600L .,AMM 2600L .
AMM 2300 - Integrated Fashion Communication (3),,
AMM 2510A - Fashion Retail Buying I Activity (1),AMM 296 or AMM 2200 ; and STA 120 or STA 1200 .,AMM 2500 .
AMM 2500 - Fashion Retail Buying I (3),AMM 296 or AMM 2200 ; and STA 120 or STA 1200 .,AMM 2510A .
AMM 2200 - Introduction to Fashion Retailing (3),AMM 101 or AMM 1010 .,
AMM 2140L - Basic Patternmaking and Apparel Construction Laboratory (2),,AMM 2140.
AMM 2140 - Basic Patternmaking and Apparel Construction (1),,AMM 2140L.
AMM 1600L - Introduction to Textile Science Laboratory (1),,AMM 1600 .
AMM 1600 - Introduction to Textile Science (2),,AMM 1600L .
AMM 1120L - Digital Illustration for Fashion Laboratory (2),,AMM 1120 .
AMM 1010 - Introduction to the Fashion Industry (3),,
AMM 1120 - Digital Illustration for Fashion (1),,AMM 1120L .
AMM 2450 - Consumerism: Its Impact and Issues (3),,
AMM 1200 - American Demographics and Lifestyles (3),,
AMM 1000 - AMM First Year Experience (1),,
"AMM 1080 - Culture, People, and Dress (3)",,
ACC 2070 - Financial Accounting for Decision Making (3),"CIS 101, CIS 1010 , or PCPT.",
ANT 3790 - Culture Areas of the World (3),"Junior standing, GE Area A, D1, D2, and D3.",
ANT 4050 - Anthropology of Gender (3),"ANT 1020 ; and Lower division GE requirements in Area A, at least two sub-areas in Area C, and at least two sub-areas in Area D.",
ANT 4900 - Methods in Anthropology (2),"ANT 1020 or ANT 1120 , GE Area D1/D2 or Instructor consent; and Upper Division standing.",ANT 4900L .
"ANT 3600 - Magic, Shamanism, and Religion (3)","Junior standing; and Lower division GE requirements in Area A, at least two sub-areas in Area C, and at least two sub-areas in Area D.",
ANT 4910 - Forensic Anthropology (3),Lower division GE requirements in Areas A and B.,
ANT 4180 - Business Anthropology (3),Junior or Senior Standing.,
ANT 3700L - Visual Anthropology Laboratory (1),GE Area A.,ANT 3700 .
ANT 3700 - Visual Anthropology (2),GE Area A.,ANT 3700L .
ANT 3520 - Anthropology of Globalization and Development (3),"ANT 1020 , Lower Division GE Area D, or Instructor Consent.",
"ANT 3500 - Environment, Technology and Culture (3)","Junior standing; and Lower division GE requirements in Area A, at least two sub-areas in Area B, and at least two sub-areas in Area D.",
ANT 3570 - Health Systems Past and Present (3),ANT 1010 ; and ANT 1020 or ANT 1120 .,
ARC 4990L - Special Topics for Upper Division Students Laboratory (1-3),,
ARC 4990 - Special Topics for Upper Division Students (1-3),,
ARC 4990A - Special Topics for Upper Division Students Activity (1-3),,
ARC 4890 - Integrated Project Delivery for Healthcare Facility Design (3),"ARC Graduate Standing or Advanced Standing, Instructor Permission, and ARC 303L or ARC 3021L .",
ARC 4880 - Healthcare Facility Design and Sustainability (3),"ARC Graduate Standing or Advanced Standing, Instructor Permission, and ARC 303L or ARC 3021L .",
"ARC 4870 - Healthcare Architecture, Planning and Design (3)","ARC Graduate Standing or Advanced Standing, and ARC 303L or ARC 3021L .",
ARC 4860 - Institutional Environments (3),"ARC Graduate Standing or Advanced Standing, and ARC 303L or ARC 3021L .",
ARC 4850 - Design Issues in Housing (3),ARC Graduate Standing or Advanced Standing; and Instructor Permission.,
ARC 4820 - Architectural Programming (3),ARC Graduate Standing or Advanced Standing; and Instructor Permission.,
ARC 4840S - Community Practicum Service Learning (3),ARC Graduate Standing or Advanced Standing; Instructor Permission; and ARC 303L or ARC 3021L .,
ARC 4810 - Behavioral Factors in Architecture (3),"ARC Graduate Standing or Advanced Standing, and Instructor Permission.",
ARC 4800 - Architecture and Historic Preservation (3),"ARC Graduate or Advanced Standing. ARC 362 or ARC 3620 , and ARC 362A or ARC 3622 .",
ARC 4770A - Archives Practicum Activity (3),"ARC Graduate Standing, Advanced Standing, or Instructor Permission.",
ARC 4790 - Topics in Preservation (3),"ARC Graduate or Advanced Standing; ARC 362 or ARC 3620 , and ARC 362A or ARC 3622 .",
ARC 4780 - Indigenous Architecture (3),"ARC Graduate or Advanced Standing; ARC 362 or ARC 3620 , and ARC 362A or ARC 3622 .",
ARC 4760A - Neutra VDL Docents Activity (3),"ARC Graduate Standing, Advanced Standing, or Instructor Permission; and ARC 303L or ARC 3021L .",
ARC 4750 - Teaching Practicum (1-3),"ARC Graduate or Advanced Standing; ARC 362 or ARC 3620 , and ARC 362A or ARC 3622 .",
ARC 4740 - Managing a Design Firm (3),ARC 4710 and ARC 4712 or Instructor Permission.,
ARC 4700 - Advanced Preservation Design (3),ARC Graduate or Advanced Standing; ARC 362 or ARC 3620 ; and ARC 362A or ARC 3622 .,
ARC 4690 - Topics in Southern California Architecture (3),"ARC Graduate or Advanced Standing; ARC 362 or ARC 3620 , and ARC 362A or ARC 3622 .",
ARC 4680 - Latin American Architecture (3),ARC Graduate or Advanced Standing; ARC 362 or ARC 3620 ; and ARC 362A or ARC 3622 .,
ARC 4670 - California Architecture (3),"ARC Graduate or Advanced Standing; ARC 362 or ARC 3620 , and ARC 362A or ARC 3622 .",
ARC 4650 - Contemporary Architecture (3),"ARC Graduate or Advanced Standing; ARC 362 or ARC 3620 , and ARC 362A or ARC 3622 .",
"AH 3351 - Arts of Mexico, Central and South America (3)",Junior or senior standing.,
AH 3345 - Arts of Japan (3),Junior or senior standing.,
AH 3343 - Arts of Korea (3),Junior or senior standing.,
AH 3333 - History of Design (3),Junior or senior standing.,
AH 3337 - Contemporary Art (3),Junior or senior standing.,
AH 3341 - Art and Architecture of India (3),Junior or senior standing.,
AH 3331 - Art of the United States (3),Junior or senior standing.,
AH 3335 - Modernism in Visual Art (3),Junior or senior standing.,
AH 3319 - Art in the Age of the Baroque (3),Junior or senior standing.,
AH 3317 - Art of the Italian Renaissance (3),Junior or senior standing.,
AH 3315 - Art of the Middle Ages (3),Junior or senior standing.,
AH 3311 - Art of Ancient Egypt and the Near East (3),Junior or senior standing.,
AH 3313 - Art of the Classical World (3),Junior or senior standing.,
HST 1101 - World Civilizations to 1500 (3),,
HST 1102 - World Civilizations from 1500 (3),,
HST 3300 - Theory and Practice of History (3),History or Art History major; completion of GE Area A; and HST 100 or HST 1100 .,
CLS 1101A - Freshman Experience (1),,
CLS 1101 - Freshman Experience (2),,
AH 4610 - Senior Seminar (3),"Art History major or minor, and senior standing.",
AH 2302 - World Art: Renaissance through Modern Europe and the United States (3),Completion of GE Area A2.,
ARC 4570 - Robotic Architectural Environments (3),"ARC Graduate Standing, Junior Standing, or Senior Standing.",
AH 2303 - World Art: Asia (Prehistory to 12th Century) (3),"ENG 1100 , ENG 1101 , ENG 1103 , or IGE 1100 .",
"AH 2305 - World Art: Africa, Oceania, and Native America (3)","ENG 1100 , ENG 1101 , ENG 1103 , or IGE 1100 .",
ARC 4560A - Animation and Simulation Design Methods Activity (3),"ARC Graduate Standing, Advanced Standing, or Permission of Instructor; and ARC 2500A or ARC 253 or ARC 5510A or ARC 552.",
ARC 4540A - Interactive Media for Architects Activity (3),"ARC Graduate Standing, Advanced Standing, or Permission of Instructor; and ARC 2500A or ARC 253 or ARC 5510A or ARC 552.",
ARC 4530A - Digitally Enhanced Construction and Fabrication Activity (3),"ARC graduate standing, junior standing, or senior standing; ARC 2500A , ARC 253, ARC 5510A , or ARC 552; ARC 3422 or ARC 342A; and ARC 2500A or ARC 5510A ; OR instructor permission.",
ARC 4520A - Advanced Digital Design Media Activity (3),"ARC Graduate Standing, Advanced Standing, or Permission of Instructor; and ARC 2500A or ARC 253 or ARC 5510A or ARC 552.",
ARC 4510A - Advanced Digital Modeling Activity (3),"ARC Graduate Standing, Advanced Standing, or Permission of Instructor; and ARC 2500A or ARC 253 or ARC 5510A or ARC 552.",
ARC 4440 - Advanced Architectural Materials Research (3),"ARC Graduate or Advanced Standing; ARC 342 or ARC 3420 , and ARC 342A or ARC 3422 .",
ARC 4370 - Carbon Neutral Architectural Design (3),"ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 331 or ARC 3310 , and ARC 331A or ARC 3312 .",
ARC 4360 - Advanced Sustainable Design (3),"ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 331 or ARC 3310 , and ARC 331A or ARC 3312 .",
ARC 4350 - Advanced Architectural Lighting (3),"ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 331 or ARC 3310 ; and ARC 331A or ARC 3312 .",
ARC 4320 - High Performance Design (3),"ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 331 or ARC 3310 ; and ARC 331A or ARC 3312 .",
ARC 4340 - Tools for Sustainability (3),"ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 331 or ARC 3310 ; and ARC 331A or ARC 3312 .",
ARC 4310 - Sustainable Technology (3),"ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 331 or ARC 3310 ; and ARC 331A or ARC 3312 .",
ARC 4190 - Urbanism and Film (3),"ARC Graduate Standing, Junior Standing, or Senior Standing.",
ARC 4260 - Advanced Structural Design (3),"ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 4250 or Instructor Permission.",
ARC 4180 - Architecture and Urbanism (3),,
ARC 4250 - Advanced Structural Theory (3),"ARC Graduate Standing, Junior Standing, or Senior Standing; ARC 322 or ARC 3220 ; and ARC 322A or ARC 3222 .",
ARC 4170 - Advanced Urban Design (3),"ARC Graduate Standing, Junior Standing, or Senior Standing.",
ARC 4160 - Drawing as Theory (2),"ARC Graduate Standing, Junior Standing, or Senior Standing.",ARC 4162A .
ARC 4162A - Drawing as Theory Activity (1),"ARC Graduate Standing, Junior Standing, or Senior Standing.",ARC 4160 .
ARC 4150 - Topics in Urban Form of the Americas (3),"ARC Graduate Standing, Junior Standing, or Senior Standing.",
ARC 4140 - China Study Abroad Seminar 2 (3),ARC Undergraduate Standing; ARC 303 or ARC 3020 ; and ARC 303L or ARC 3021L .,Study Abroad.
ARC 4130 - China Study Abroad Seminar 1 (3),ARC Undergraduate Standing; ARC 303 or ARC 3020 ; and ARC 303L or ARC 3021L .,Study Abroad.
ARC 4120 - Study Abroad Seminar 2 (3),ARC Undergraduate Standing; ARC 303 or ARC 3020 ; and ARC 303L or ARC 3021L .,Study Abroad.
ARC 4110 - Study Abroad Seminar 1 (3),ARC Undergraduate Standing; ARC 303 or ARC 3020 ; and ARC 303L or ARC 3021L .,Study Abroad.
ARC 4730 - The Architect and the Development Process (2),"ARC Undergraduate Standing. ARC 303 or ARC 3020 , and ARC 303L or ARC 4400 .",ARC 4732 .
ARC 4732 - The Architect and the Development Process Discussion (1),"ARC Undergraduate Standing. ARC 303 or ARC 3020 , and ARC 303L or ARC 4400 .",ARC 4730 .
ARC 4712 - Architectural Practice Discussion (1),"ARC Undergraduate Standing, ARC 303 or ARC 3020 , and ARC 303L or ARC 4400 .",ARC 4710 .
ARC 4710 - Architectural Practice (2),"ARC Undergraduate Standing, ARC 303 or ARC 3020 , and ARC 303L or ARC 4400 .",ARC 4712 .
ARC 4642 - American Architecture Discussion (1),"ARC Junior Standing or Senior Standing; ARC 362 or ARC 3620 , and ARC 362A or ARC 3622 .",ARC 4640 .
ARC 4610 - Senior Project Research and Programming (3),ARC Senior Standing; and ARC 403L or ARC 4021L .,
ARC 4620 - Senior Project Material and Structural Integration (3),ARC Senior Standing; and ARC 406L or ARC 4610 .,ARC 4611L .
ARC 4640 - American Architecture (2),"ARC Junior Standing or Senior Standing; ARC 362 or ARC 3620 , and ARC 362A or ARC 3622 .",ARC 4642 .
ARC 4500A - Advanced Digital Design Activity (3),"ARC Graduate standing; OR ARC Undergraduate tanding, ARC 253 or ARC 2500A , and ARC 303L or ARC 3021L .",
ARC 3622 - Architecture from Renaissance through Modern Era Discussion (1),ARC Graduate Standing or Undergraduate Standing; and ARC 361A or ARC 3612 .,ARC 3620 .
ARC 4402A - Design Development Activity (2),"ARC Undergraduate Standing. ARC 342 or ARC 3420 , ARC 342A or ARC 3422 , and ARC 303L or ARC 3021L .",ARC 4400 .
ARC 4400 - Design Development (1),"ARC undergraduate standing, and ARC 302 or ARC 3011L .",ARC 4402A .
ARC 3620 - Architecture from Renaissance through Modern Era (2),ARC Graduate Standing or Undergraduate Standing; and ARC 361 or ARC 3610 .,ARC 3622 .
ARC 3422 - Building Construction 2 Discussion (1),"ARC graduate standing; OR ARC undergraduate standing, ARC 341 or ARC 3410 , and ARC 342 or ARC 3412 .",ARC 3420 .
ARC 3412 - Building Construction 1 Discussion (1),"ARC graduate standing; OR ARC undergraduate standing, and ARC 103 or ARC 1021L .",ARC 3410 .
ARC 3420 - Building Construction 2 (2),"ARC graduate standing; OR ARC undergraduate standing, ARC 341 or ARC 3410 , and ARC 342 or ARC 3412 .",ARC 3422 .
ARC 3322 - Environmental Controls 2 Discussion (1),ARC graduate standing; OR ARC undergraduate standing; ARC 331 or ARC 3310 ; and ARC 331A or ARC 3312 .,ARC 3320 .
ARC 3410 - Building Construction 1 (2),"ARC graduate standing; OR ARC undergraduate standing, and ARC 103 or ARC 1021L .",ARC 3412 .
ARC 3320 - Environmental Controls 2 (2),ARC graduate standing; OR ARC undergraduate standing; ARC 331 or ARC 3310 ; and ARC 331A or ARC 3312 .,ARC 3322 .
ARC 3312 - Environmental Controls Systems 1 Discussion (1),ARC graduate standing; OR ARC undergraduate standing; ARC 201 or ARC 2010 ; and ARC 201L or ARC 2011L .,ARC 3310 .
ARC 3310 - Environmental Controls Systems 1 (2),ARC graduate standing; OR ARC undergraduate standing; ARC 201 or ARC 2010 ; and ARC 201L or ARC 2011L .,ARC 3312 .
ARC 3222 - Structures 2 Discussion (1),ARC graduate standing; OR ARC undergraduate standing; ARC 321 or ARC 3210 ; and ARC 321A or ARC 3212 .,ARC 3220 .
ARC 3220 - Structures 2 (2),ARC graduate standing; OR ARC undergraduate standing; ARC 321 or ARC 3210 ; and ARC 321A or ARC 3212 .,ARC 3222 .
ARC 3020 - Housing and Urban Design (3),ARC Undergraduate Standing; ARC 301 or ARC 3010 ; and ARC 301L or ARC 3011L .,ARC 3021L .
ARC 3010 - Architectural Codes (3),ARC Graduate Standing or Undergraduate Standing; 2.0 GPA; ARC 203 or ARC 2020 ; and ARC 203L or ARC 2021L .,ARC 3011L .
ARC 2500A - Intermediate Digital Design Activity (3),"ARC Undergraduate Standing, ARC 103L or ARC 1021L , and ARC 1500A or ARC151 and ARC152.",ARC 2011L .
ARC 1500A - Foundation Digital Design Activity (3),ARC Undergraduate Standing.,ARC 1011L .
ARC 2010 - Introduction to Sustainable Architectural Design (3),ARC Undergraduate Standing.,ARC 2011L .
ARC 2020 - Architectural Programming (3),"ARC Undergraduate Standing and ARC 201 or ARC 2010 , and ARC 201L.",ARC 2021L .
ARC 3212 - Structures 1 Discussion (1),"ARC graduate standing; OR ARC undergraduate standing; ARC 201 or ARC 2010 ; ARC 201L or ARC 2011L ; MAT 1060 , MAT 1140 , MAT 1150 , MAT 2140 , MAT 2250 , MAT 2010 , MAT 3100 , MAT 3140 , MAT 4170 , or MAT 4280 ; and PHY 1210 / PHY 1210L or PHY 121L.",ARC 3210 .
ARC 3210 - Structures 1 (2),"ARC graduate standing; OR ARC undergraduate standing; ARC 201 or ARC 2010 ; ARC 201L or ARC 2011L ; MAT 1060 , MAT 1140 , MAT 1150 , MAT 2140 , MAT 2250 , MAT 2010 , MAT 3100 , MAT 3140 , MAT 4170 , or MAT 4280 ; and PHY 1210 / PHY 1210L or PHY 121L.",ARC 3212 .
ARC 4021L - Topics in Architectural Design 2 Laboratory (3),"ARC undergraduate standing, and ARC 401 or ARC 4011L .",
ARC 4031L - Topics in Architectural Design 3 Laboratory (3),"ARC undergraduate standing, and ARC 402 or ARC 4021L .",
ARC 4611L - Senior Project Design Laboratory (3),"ARC Senior Standing; ARC 4031L or 405L; and ARC 4610 , or ARC 406 and ARC 406L.",
ARC 3021L - Third Year Design 2 Laboratory (3),ARC Undergraduate Standing. ARC 301 or ARC 3011L .,ARC 3020 .
ARC 2021L - Second Year Design 2 Laboratory (3),"ARC Undergraduate Standing; ARC 2011L , or ARC 201 and ARC 202.",ARC 2020 .
ARC 4011L - Topics in Architectural Design 1 Laboratory (3),ARC Undergraduate Standing; ARC 3021L or 303L; ARC 3020 or ARC 303; ARC 3220 or ARC 322; ARC 3320 or ARC 332; and ARC 3420 or ARC 342.,
ARC 2011L - Second Year Design 1 Laboratory (3),"ARC Undergraduate Standing; ARC 203 or ARC 1021L ; ARC 1500A , or ARC 151 and ARC 152; and ARC GPA 2.0.",ARC 2010 and ARC 2500A .
ARC 1021L - Foundation Design 2 Laboratory (3),"ARC Undergraduate Standing. ARC 299 and ARC 299A, or ARC 1011L .",
ARC 1011L - Foundation Design 1 Laboratory (3),ARC Undergraduate Standing.,ARC 1500A .
ENV 1010L - Introduction to Design Theories and Methods Laboratory (1),,ENV 1010 .
COM 2204 - Advocacy and Argument (3),Department consent required.,
ENV 1010 - Introduction to Design Theories and Methods (2),,ENV 1010L .
ARC 4630 - Interpreting Architecture (3),"Lower division GE requirements in Areas A and C, and sub-area B4.",
ENG 2105 - Written Reasoning (3),Completion of GE Area A2.,
ARC 3011L - Third Year Design 1 Laboratory (3),"ARC Undergraduate Standing; 2nd year Portfolio Review passed*; ARC 203L or ARC 2021L ; MAT 106, MAT 1060 , MAT 1140 , MAT 1150 , MAT 2140 , MAT 2250 , MAT 2010 , MAT 3100 , MAT 3140 , MAT 4170 or MAT 4280 ; and PHY 1210 / PHY 1210L or PHY 121L.",ARC 3010 .
AH 2301 - World Art: Prehistory through Medieval Europe (3),"ENG 1100 , ENG 1101 , ENG 1103 , or IGE 1100 .",
ARC 1020 - Visual Literacy and Civilization: An Architect's View (2),,ARC 1022A .
ARC 1022A - Visual Literacy and Civilization: An Architect's View Activity (1),,ARC 1020 .
ARC 3612 - World Architecture before the Renaissance Discussion (1),"ENG 1101 , ENG 1103 , ENG 107 or ENG 109; or IGE 1100 and IGE 1200 or Graduate Standing.",ARC 3610 .
ARC 3610 - World Architecture before the Renaissance (2),"ENG 1101 , ENG 1103 , ENG 107 or ENG 109; or IGE 1100 and IGE 1200 or Graduate Standing.",ARC 3612 .
ANT 3270 - The Ancient and Contemporary Maya (3),ANT 1030 and GE Area D1/D2; or Instructor Consent.,
ANT 3940 - Field Archaeology (2),ANT 1030 or Instructor Consent.,ANT 3940L .
"ANT 4750 - The Aztec: Art, Religion and Society (3)",Lower Div GE area A; or ANT 1030 or ANT 3790 .,
ANT 3250 - California Archaeology (3),ANT 1030 or Instructor Consent.,
ANT 4610 - Senior Capstone (3),ANT major and Senior standing.,
ANT 3220 - North American Archaeology (3),ANT 1030 or Instructor Consent.,
ANT 4800 - History of Anthropological Theory (3),ANT 1020 or instructor consent; and Junior or Senior standing.,
ANT 4300 - Archaeological Method and Theory (3),ANT 1030 or Instructor Consent.,
ANT 3580 - Social Anthropology (3),ANT 1020 or Instructor Consent.,
ANT 3450 - Human Evolution and Diversity (2),Junior or Senior Standing; and ANT 1010 or Instructor Consent.,ANT 3450L .
ANT 3450L - Human Evolution and Diversity Laboratory (1),ANT 1010 or Instructor consent and Junior or Senior standing.,ANT 3450 .
ANT 3530 - Language and Culture (3),"ANT 1020 , ANT 1040 , ENG 3211 , foreign language req, or Instructor consent; and GE Area A1-3 and Area C1-3.",
ANT 3400L - Comparative Primatology Laboratory (1),ANT 1010 or Instructor consent.,ANT 3400 .
ANT 3400 - Comparative Primatology (2),ANT 1010 or Instructor Consent.,ANT 3400L .
ANT 1020 - Introduction to Cultural Anthropology (3),,
ANT 1040 - Introduction to Linguistic Anthropology (3),,
ANT 1030 - Introduction to Archaeology and World Prehistory (3),,
ANT 1010 - Introduction to Biological Anthropology (3),,
"PHY 1220 - Physics of Electromagnetism, Circuits, and Light (3)","C- or better in PHY 122, PHY 122B, PHY 1210 , or PHY 1210B.",PHY 1220L .
"PHY 1210L - Physics of Motion, Fluids, and Heat Laboratory (1)",,PHY 1210 .
"PHY 1210 - Physics of Motion, Fluids, and Heat (3)","C- or better in MAT 106, MAT 1060 , MAT 112, MAT 114, MAT 1140 , MAT 1140C, MAT 115, MAT 116 or MAT 1150 .",PHY 1210L .
MAT 1060 - Trigonometry (3),"CO Category I, CO Category II, CO Category III, ALEKS >=46, ACT >=23, or IRW passed Level 2; C or better in STA 2100 , STA 2260 , STA 341, STA 326, MAT 12, or ESM 12; or C- or better in MAT 1051 .",
CHM 3150 - Organic Chemistry II (3),"C- or better in CHM 3140 , CHM 315, or CHM 315B.",
CHM 3150L - Organic Chemistry Laboratory II (1),C- or better in CHM 3140L or CHM 318L; and CHM 316 or CHM 3150 .,CHM 3150 .
CHM 3210 - Elements of Biochemistry (3),"C- or better in CHM 1220 or CHM 122; C- or better in CHM 1220L or CHM 122L; C- or better in CHM 315, CHM 201, CHM 2010 , or CHM 3150 ; and C- or better in CHM 317L, CHM 250L, CHM 3140L , or CHM 2010L .",
"BIO 1220L - Foundations of Biology: Evolution, Ecology, and Biodiversity Laboratory (1)","BIO 121, BIO 121L, and BIO 1210B, or BIO 1210 and BIO 1210L .",BIO 1220 .
