course_name,prerequisites,corequisites
CHM 3440L - Electroanalytical Methods Laboratory (1),C- or better in CHM 221B or CHM 2210 ; and C- or better in CHM 221LB or CHM 2210L .,CHM 3440 .
CHM 3520L - Physical Chemistry Laboratory (2),"C- or better in CHM 305, CHM 3040 , CHM 3050 , CHM 312, CHM 3110 or CHM 3120 .",
CHM 3430L - Separation Methods Laboratory (1),"C- or better in CHM 221, CHM 2210 , or CHM 221B; and C- or better in CHM 221L, CHM 2210L , or CHM 221LB.",CHM 3430 .
CHM 3440 - Electroanalytical Methods (1),C- or better in CHM 221B or CHM 2210 ; and C- or better in CHM 221LB or CHM 2210L .,CHM 3440L .
CHM 3430 - Separation Methods (1),"C- or better in CHM 221, CHM 2210 , or CHM 221B; and C- or better in CHM 221L, CHM 2210L , or CHM 221LB.",CHM 3430L .
CHM 3420L - Spectroscopic Methods Laboratory (1),"C- or better in CHM221, CHM 2210 , or CHM221B; and CHM221L, CHM 2210L , or CHM221LB.",CHM 3420 .
CHM 3420 - Spectroscopic Methods (1),"C- or better in CHM 221, CHM 2210 or CHM 221B; and C- or better in CHM 221L, CHM 2210L or CHM 221LB.",CHM 3420L .
CHM 3400 - The Chemist in Industry (3),"CHM 201, CHM 2010 , CHM 314 or CHM 3140 ; CHM 1220 or CHM 123; and CHM 1220L or CHM 123L.",
CHM 3280L - Biochemistry Laboratory II (1),"C- or better in CHM 328 or CHM 3270 , and C- or better in CHM 328L or CHM 3270L .",
CHM 3280 - Biochemistry II (3),"C- or better in CHM 328 or CHM 3270 , and C- or better in CHM 328L or CHM 3270L .",
CHM 3310L - Clinical Chemistry Laboratory (1),"C- or better in the following: CHM 328 and CHM 329, or CHM 3280 ; CHM 328L and CHM 329L or CHM 3280L ; CHM 221 or CHM 2210 ; and CHM 221L or CHM 2210L .",CHM 3310 .
CHM 3310 - Clinical Chemistry (2),"C- or better in the following: CHM 321, CHM 3210 , CHM 3280 , or CHM 328 and CHM 329; CHM 321L, CHM 328L and CHM 329L, or CHM 3280L ; CHM 221 or CHM 2210 ; and CHM 221L or CHM 2210L .",CHM 3310L .
CHM 3010 - Modeling the Fundamentals of Physical Chemistry (3),Lower division GE requirements in Areas A and B.,
CHM 3050 - Elements of Physical Chemistry II (3),CHM 123 or CHM 1220 ; MAT 116 or MAT 1150 ; PHY 133 or PHY 1520 ; and PHY 133L or PHY 1520L .,
CHM 3040 - Elements of Physical Chemistry I (3),CHM 123 or CHM 1220 ; MAT 116 or MAT 1150 ; PHY 133 or PHY 1520 ; and PHY 133L or PHY 1520L .,
BIO 4610 - Undergraduate Research (1),,
CHM 2210L - Quantitative Analysis Laboratory (2),"C- or better in CHM 123 or CHM 1220 , and C- or better in CHM 123L or CHM 1220L .",CHM 2210 .
BIO 4410 - Internship in Biology (1-2),Completion of 60 or more units. Overall GPA of 2.0 or higher. Completed application signed by the on-site job supervisor and on-campus internship coordinator.,
CHM 3270L - Biochemistry Laboratory I (1),"C- or better in CHM 1220 , CHM 122, or CHM 123; C- or better in CHM 1220L , CHM 122L, or CHM 123L; C- or better in CHM 321, CHM 327, CHM 3210 , or CHM 3270 ; C- or better in CHM 250L, CHM 317L, CHM 2010L , or CHM 3140L ; D or better in BIO 115, BIO 121, BIO 1150 , or BIO 1210 .",CHM 3210 or CHM 3270 .
CHM 2210 - Quantitative Analysis (2),C- or better in CHM 123 or CHM 1220 ; and CHM 123L or CHM 1220L .,CHM 2210L .
BIO 4840 - Herpetology (2),Junior standing and any 2000-level BIO course.,BIO 4840L .
BIO 2300 - Horizons in Biotechnology (1),Undergraduate standing.,
BIO 4830 - Ornithology (2),Junior standing and any 2000-level BIO course.,BIO 4830L.
BIO 4830L - Ornithology Laboratory (2),Junior standing and any 2000-level BIO course.,BIO 4830.
BIO 4840L - Herpetology Laboratory (2),Junior standing and any 2000-level BIO course.,BIO 4840 .
BIO 4820 - Biology of Fishes (2),Any 2000-level BIO course or junior standing.,BIO 4820L .
BIO 4820L - Biology of Fishes Laboratory (2),Any 2000-level BIO course or junior standing.,BIO 4820 .
BIO 4585 - Ecotoxicology (3),BIO 1210 and BIO 1220.,
BIO 4180L - Marine Ecology Laboratory (1),BIO 325/BIO 325L or BIO 3250 .,BIO 4180 .
BIO 4180 - Marine Ecology (3),BIO 325/BIO 325L or BIO 3250 .,BIO 4180L .
BIO 4140 - Biology of Species Invasions (2),"BIO 123/BIO 123L, BIO 1220 / BIO 1220L , BIO 122/BIO 122L/BIO 1220C, BIO 115/BIO 115L/BIO 115A, BIO 1150 / BIO 1150L , BIO 110/BIO 111L, or BIO 1110 / BIO 1110L .",
BIO 4240 - Neuromuscular Physiology (3),BIO 428/BIO 428L or BIO 4450 / BIO 4450L .,
BIO 4810L - Histology Laboratory (2),"ZOO 201/ZOO 201L, BIO 2070 / BIO 2070L , ZOO 238/ZOO 238L, or BIO 2380 / BIO 2380L .",BIO 4810 .
BIO 4810 - Histology (2),"ZOO 201/ZOO 201L, BIO 2070 / BIO 2070L , ZOO 238/ZOO 238L, or BIO 2380 / BIO 2380L .",BIO 4810L .
BIO 4100 - Biophysics (3),"C- or better in PHY 123, PHY 1220 , PHY 133 or PHY 1520 .",
BIO 2350 - Human Physiology (3),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/115L/115A; or BIO 1150 / BIO 1150L .",BIO 2350L .
BIO 2020 - Medical Terminology (3),"BIO 123/123L, BIO 1220 / BIO 1220L , BIO 122/122L/1220C, BIO 115/115L/115A, or BIO 1150 / BIO 1150L .",
BIO 4460L - Physiology II: Systems Laboratory (1),BIO 310 or BIO 3220 .,BIO 4460 .
BIO 4460 - Physiology II: Systems (3),BIO 310 or BIO 3220 .,
BIO 2340 - Human Anatomy (3),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/115L/115A; or BIO 1150 / BIO 1150L .",BIO 2340L .
BIO 4260 - Neuroscience (3),BIO 3220 .,
BIO 2350L - Human Physiology Laboratory (1),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/115L/115A; or BIO 1150 / BIO 1150L .",BIO 2350 .
BIO 2340L - Human Anatomy Laboratory (1),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/115L/115A; or BIO 1150 / BIO 1150L .",BIO 2340 .
BIO 4670 - General Virology (3),MIC 201/MIC 201L or BIO 2060 .,
BIO 4650L - Immunology Laboratory (1),MIC 201/MIC 201L or BIO 2060 / BIO 2060L .,BIO 4650 or MIC 415.
BIO 4650 - Immunology (3),MIC 201/MIC 201L or BIO 2060 / BIO 2060L .,BIO 3220 or BIO 310.
BIO 4700L - Hematology Laboratory (1),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; or BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L .",BIO 4700 .
BIO 4670L - General Virology Laboratory (1),MIC 201/MIC 201L or BIO 2060 .,BIO 4670 .
BIO 4700 - Hematology (3),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; or BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L .",
BIO 4640 - Medical Virology (1),MIC 201/MIC 201L or BIO 2060 / BIO 2060L .,
BIO 3640L - Food Microbiology Laboratory (1),MIC 201/MIC 201L or BIO 2060 / BIO 2060L .,BIO 3640 .
BIO 3640 - Food Microbiology (2),MIC 201/MIC 201L or BIO 2060 / BIO 2060L .,
BIO 4680 - Microbial Ecology (3),MIC 201/MIC 201L or BIO 2060 / BIO 2060L .,
BIO 3620 - Applied Microbiology (2),"MIC 201/MIC 201L or BIO 2060 / BIO 2060L ; CHM 201 or CHM 3150 ; and CHM 250L, CHM 2010L , CHM 317L, or CHM 3140L .",BIO 3620L .
BIO 3600 - General Epidemiology (3),"MIC 201/MIC 201L or BIO 2060 / BIO 2060L ; and STA 120, STA 1300 , BIO 211L or BIO 2110L .",
BIO 4080 - Water Pollution Biology (3),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/BIO 115L/BIO 115A; BIO 1150 / BIO 1150L ; BIO 110/BIO 111L; or BIO 1110 / BIO 1110L .",
BIO 3620L - Applied Microbiology Laboratory (1),"MIC 201/MIC 201L or BIO 2060 / BIO 2060L ; CHM 201 or CHM 3150 ; and CHM 250L, CHM 2010L , CHM 317L, or CHM 3140L .",BIO 3620 .
BIO 4680L - Microbial Ecology Laboratory (1),MIC 201/MIC 201L or BIO 2060 / BIO 2060L .,BIO 4680 .
BIO 4635 - Medical Microbiology (3),MIC 201/MIC 201L or BIO 2060 / BIO 2060L .,
BIO 4635L - Medical Microbiology Laboratory (1),MIC 201/MIC 201L or BIO 2060 / BIO 2060L .,BIO 4635 .
BIO 4450 - Physiology I: Cells (3),BIO 310 or BIO 3220 .,BIO 4450L .
BIO 4450L - Physiology I: Cells Laboratory (1),BIO 310 or BIO 3220 .,BIO 4450 .
BIO 4660 - Microbial Physiology (3),"MIC 201/MIC 201L or BIO 2060 / BIO 2060L , and CHM 201/CHM 250L or CHM 3140 / CHM 3140L .",
BIO 4660L - Microbial Physiology Laboratory (1),"MIC 201/MIC 201L or BIO 2060 / BIO 2060L , and CHM 201/CHM 250 or CHM 3140 / CHM 3140L .",BIO 4660 .
BIO 4400 - Stem Cell Biology (3),BIO 310 or BIO 3220 .,
BIO 4430L - Tissue Culture and Its Application Laboratory (1),BIO 3220 .,BIO 4430 .
BIO 4400L - Stem Cell Biology Laboratory (1),BIO 310 or BIO 3220 .,BIO 4400 .
BIO 4430 - Tissue Culture and Its Application (2),BIO 3220 .,
BIO 4320 - Molecular Biology Techniques (3),BIO 310 or BIO 3220 .,
BIO 4380L - Bioinformatics Laboratory (2),"BIO 303, BIO 2400 , CHM 328, or CHM 3280 .",BIO 4380 .
BIO 4380 - Bioinformatics (2),"BIO 303, BIO 2400 , CHM 328, or CHM 3280 .",BIO 4380L .
BIO 4360 - Recombinant DNA and Protein Technology (3),BIO 3220 .,
BIO 4360L - Recombinant DNA and Protein Technology Laboratory (1),BIO 3220 .,BIO 4360 .
BIO 4300 - Concepts of Molecular Biology (3),BIO 310 or BIO 3220 .,
BIO 4320L - Molecular Biology Techniques Laboratory (1),BIO 310 or BIO 3220 .,BIO 4320 .
BIO 4040 - Advanced Genetics (3),BIO 303 or BIO 2400 .,
BIO 4060 - Regulatory Affairs and Safety Assessment (3),"BIO 123/BIO 123L, BIO 1220 / BIO 1220L , or BIO 122/BIO 122L/BIO 1220C, or Instructor consent.",
BIO 4800L - Entomology Laboratory (2),Junior standing and any 2000 level BIO course.,
BIO 4020L - Developmental Biology Laboratory (1),BIO 310 or BIO 3220 .,BIO 4020 .
BIO 4030 - Human Genetics (3),BIO 310 or BIO 3220 .,
BIO 4020 - Developmental Biology (3),BIO 310 or BIO 3220 .,
BIO 4800 - Entomology (2),Junior standing and any 2000 level BIO course.,
BIO 4580 - Ecology and Conservation of Hawaiian Ecosystems (2),BIO 3250 and BIO 2110L.,BIO 4580L .
BIO 4550L - Field Biology Laboratory (1-3),Special topics course which will have requisites added as needed.,
BIO 4560 - Plant Development and Differentiation (3),"BOT 201/BOT 201L, or BIO 2050 / BIO 2050L .",
BIO 4550A - Field Biology Activity (1-3),Special topics course which will have requisites added as needed.,
BIO 4570L - Plants and the Environment Laboratory (2),"BOT 201/201L BIO 211L and BIO 325/325L, or BIO 2050 / BIO 2050L , BIO 2110L and BIO 3250 / BIO 3250L .",BIO 4570 .
BIO 4550 - Field Biology (1-3),Special topics course which will have requisites added as needed.,
BIO 4530L - Plant Anatomy Laboratory (2),BOT 201/BOT 201L or BIO 2050 / BIO 2050L .,BIO 4530 .
BIO 4570 - Plants and the Environment (2),"BOT 201, BOT 201L, BIO 211L, BIO 325 and BIO 325L; or BIO 2050 , BIO 2050L , BIO 2110L , BIO 3250 and BIO 3250L .",BIO 4570L .
BIO 4530 - Plant Anatomy (2),BOT 201/BOT 201L or BIO 2050 / BIO 2050L .,BIO 4530L .
BIO 4490L - Marine Botany Laboratory (2),"BOT 201/BOT 201L, or BIO 2050 / BIO 2050L .",BIO 4490 .
BIO 4520L - Evolution of Plants Laboratory (1),BOT 201/BOT 201L and BIO 413; or BIO 2050 / BIO 2050L and BIO 3240 .,BIO 4520 .
BIO 4520 - Evolution of Plants (3),BOT 201/BOT 201L and BIO 413; or BIO 2050 / BIO 2050L and BIO 3240 .,BIO 4520L .
BIO 4540 - Plant Genetics (3),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; or BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L . BIO 2400 and BIO 2050 recommended.",
BIO 4490 - Marine Botany (2),"BOT 201/BOT 201L, or BIO 2050 / BIO 2050L .",BIO 4490L .
PLT 2310L - Basic Soil Science Laboratory (1),CHM 121 or CHM 1210 ; and CHM 121L or CHM 1210L .,PLT 2310 .
PLT 2310 - Basic Soil Science (2),CHM 121 or CHM 1210 and CHM 121L or CHM 1210L .,PLT 2310L .
BIO 3500L - California Flora Laboratory (1),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/115L/115A; or BIO 1150 / BIO 1150L .",BIO 3500 .
BIO 4480L - Plant Physiology Laboratory (1),"BOT 201/BOT 201L, or BIO 2050 / BIO 2050L .",BIO 4480 .
BIO 4480 - Plant Physiology (3),"BOT 201/BOT 201L, or BIO 2050 / BIO 2050L .",BIO 4480L .
BIO 3500 - California Flora (1),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/115L/115A; or BIO 1150 / BIO 1150L .",BIO 3500L .
BIO 3250L - Ecology Laboratory (1),"BIO 3250 or BIO 325; BIO 2110L or BIO 211L; and BIO 123/BIO 123L, BIO 1220 / BIO 1220L , or BIO 122/BIO 122L/BIO 1220C.",
BIO 2380L - Introduction to Vertebrate Zoology Laboratory (1),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/115L/115A; or BIO 1150 / BIO 1150L .",BIO 2380 .
BIO 2380 - Introduction to Vertebrate Zoology (3),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/115L/115A; or BIO 1150 / BIO 1150L .",BIO 2380L .
BIO 2370L - Introduction to Invertebrate Zoology Laboratory (1),"BIO 121/BIO 121L, BIO 122/BIO 122L, and BIO 123/BIO 123L; BIO 121/BIO 121L and BIO 122/BIO 122L/BIO 1220C; BIO 121/BIO 121L/BIO 1210B and BIO 1220 / BIO 1220L ; BIO 1210 / BIO 1210L and BIO 1220 / BIO 1220L ; BIO 115/115L/115A; or BIO 1150 / BIO 1150L .",BIO 2370 .
